instance,topic,distribution
1838-0,37,0.03142415295937017
1839-0,37,0.017919621749408986
1840-0,37,0.045285610990600154
1841-0,37,0.021783231083844588
1842-0,37,0.02863439590712319
1843-0,37,0.030874129508367123
1844-0,37,0.006657794339455241
1845-0,37,0.025420598680872656
1846-0,37,0.05755188023844741
1847-0,37,0.1273541070801345
1848-0,37,0.02924333487440282
1849-0,37,4.263937746508903E-6
1850-0,37,0.010996437659033083
1851-0,37,0.02744834453572318
1852-0,37,0.023506514926603998
1853-0,37,0.005223299362001823
1854-0,37,0.037494407158836694
1855-0,37,2.7249812657537986E-6
1856-0,37,0.007124588406462977
1857-0,37,0.017797954119000065
1858-0,37,0.017824372223054268
1859-0,37,0.017292588124916235
1860-0,37,2.384358607534574E-6
1861-0,37,0.013024713682941537
1862-0,37,0.0061795311606632364
1863-0,37,0.008612415232133545
1864-0,37,5.4421768707483014E-6
1865-0,37,0.022407138007952677
1866-0,37,4.575611988103411E-6
1867-0,37,0.006103122730573712
1868-0,37,3.2881216605014394E-6
1869-0,37,4.2341484069016635E-6
1870-0,37,2.865761689291102E-4
1871-0,37,4.938271604938273E-6
1872-0,37,3.127687856751897E-6
1873-0,37,3.2938076416337295E-6
1874-0,37,3.3695560609889658E-6
1875-0,37,2.6936026936026943E-6
1876-0,37,0.008691036313186153
1877-0,37,0.014567182015087015
1878-0,37,0.0059752776031845815
1879-0,37,2.8182907066863954E-6
1880-0,37,2.361553902467824E-6
1881-0,37,0.0040547676060661885
1882-0,37,0.008083578191315706
1883-0,37,2.9989148663312626E-4
1884-0,37,3.5736621102474774E-6
1885-0,37,0.008821231525109743
1886-0,37,2.0872469213107916E-6
1887-0,37,0.008358855375096678
1888-0,37,2.4362019611425792E-6
1889-0,37,2.4714241581711467E-6
1890-0,37,2.7277686852154943E-6
1891-0,37,0.00926846846846847
1892-0,37,2.4229208310618457E-6
1893-0,37,2.4636610002463665E-6
1894-0,37,0.01486686686686687
1895-0,37,2.148112346275711E-6
1896-0,37,2.0684662322887583E-6
1897-0,37,2.70014850816795E-6
1898-0,37,0.020083773732628693
1899-0,37,0.0011863980753348405
1900-0,37,0.002228269833415801
1901-0,37,1.6528242634601878E-6
1902-0,37,3.435540668212661E-6
1903-0,37,2.1958717610891527E-6
1904-0,37,1.8653236336504387E-6
1905-0,37,1.3240648791790794E-6
1906-0,37,1.4018855360459817E-6
1907-0,37,0.007373973505964151
1908-0,37,1.6852039096730707E-6
1909-0,37,2.3036166781847506E-6
